Plan,Cohort Year,Month,At_Risk,Retention
premium-plus-monthly,2022,30,109,0.459915611814346
premium-plus-monthly,2022,31,108,0.45569620253164556
premium-plus-monthly,2022,32,107,0.45147679324894513
premium-plus-monthly,2022,33,107,0.45147679324894513
premium-plus-monthly,2022,34,104,0.4388185654008439
premium-plus-monthly,2022,35,101,0.42616033755274263
premium-plus-monthly,2022,36,100,0.4219409282700422
premium-plus-monthly,2022,37,100,0.4219409282700422
premium-plus-monthly,2022,38,84,0.35443037974683544
premium-plus-monthly,2022,39,67,0.28270042194092826
premium-plus-monthly,2022,40,64,0.270042194092827
premium-plus-monthly,2022,41,59,0.2489451476793249
premium-plus-monthly,2022,42,47,0.19831223628691982
premium-plus-monthly,2022,43,34,0.14345991561181434
premium-plus-monthly,2022,44,24,0.10126582278481013
premium-plus-monthly,2022,45,23,0.0970464135021097
premium-plus-monthly,2022,46,15,0.06329113924050633
premium-plus-monthly,2022,47,9,0.0379746835443038
premium-plus-monthly,2022,48,5,0.02109704641350211
premium-plus-monthly,2023,1,310,1.0
premium-plus-monthly,2023,2,309,0.9967741935483871
premium-plus-monthly,2023,3,276,0.8903225806451613
premium-plus-monthly,2023,4,257,0.8290322580645161
premium-plus-monthly,2023,5,244,0.7870967741935484
premium-plus-monthly,2023,6,230,0.7419354838709677
premium-plus-monthly,2023,7,221,0.7129032258064516
premium-plus-monthly,2023,8,219,0.7064516129032258
premium-plus-monthly,2023,9,208,0.6709677419354839
premium-plus-monthly,2023,10,201,0.6483870967741936
premium-plus-monthly,2023,11,192,0.6193548387096774
premium-plus-monthly,2023,12,187,0.603225806451613
premium-plus-monthly,2023,13,183,0.5903225806451613
premium-plus-monthly,2023,14,177,0.5709677419354838
premium-plus-monthly,2023,15,170,0.5483870967741935
premium-plus-monthly,2023,16,165,0.532258064516129
premium-plus-monthly,2023,17,162,0.5225806451612903
premium-plus-monthly,2023,18,159,0.5129032258064516
premium-plus-monthly,2023,19,155,0.5
premium-plus-monthly,2023,20,154,0.4967741935483871
premium-plus-monthly,2023,21,154,0.4967741935483871
premium-plus-monthly,2023,22,153,0.4935483870967742
premium-plus-monthly,2023,23,150,0.4838709677419355
premium-plus-monthly,2023,24,148,0.4774193548387097
premium-plus-monthly,2023,25,146,0.47096774193548385
premium-plus-monthly,2023,26,130,0.41935483870967744
premium-plus-monthly,2023,27,119,0.38387096774193546
premium-plus-monthly,2023,28,106,0.3419354838709677
premium-plus-monthly,2023,29,102,0.32903225806451614
premium-plus-monthly,2023,30,92,0.2967741935483871
premium-plus-monthly,2023,31,50,0.16129032258064516
premium-plus-monthly,2023,32,39,0.12580645161290321
